,,,,,,,Page 13,,A. STATEMENT OF REVENUES AND EXPENSES,,,,
,,,,,,,,,Current Tax Year,Proposed,Proposed,Proposed,Actuals
,,,,,,,,,1/1/2025,Present to,1/1/2026,1/1/2027,1/1/2024
23,#REF!,#REF!,#REF!,#REF!,,51000,Salaries & Related Expenses,,,,,,
,,,,,17,51100,"  Officers, Directors/Trustees, Key Employees Salaries",,$0,"$15,000","$187,000","$460,000",
,,,,,17,51400,"  Employee Benefits (not pension)--O, D/T, KE",,$0,$0,"$28,050","$69,000",
,,,,,,,Subtotal Line 17,,$0,,,,
,,,,,18,51200,  Salaries & Wages- Other,,$0,$0,$0,$0,
,,,,,18,51450,  Employee Benefits (not pension)-- Other,,$0,$0,$0,$0,
,,,,,,,Subtotal Line 18,,$0,$0,$0,$0,
,,,,,,54000,Occupancy,,$0,$0,$0,$0,
,,,,,20,54100,  Rent/Mortgage/Lease,,$0,$0,$0,$0,
,,,,,20,54200,  Utilities,,$0,$0,$0,$0,
,,,,,20,54300,  Insurance,,$0,$0,$0,$0,
,,,,,20,54400,  Property Taxes,,$0,$0,$0,$0,
,,,,,20,54500,  Mortgage Interest,,$0,$0,$0,$0,
,,,,,20,54600,  Building Maintenance,,$0,$0,$0,$0,
,,,,,,,Subtotal Line 20,,$0,$0,$0,$0,
,,,,,,52000,Contract Services Expenses,,,,,,
,,,,,22,52200,  Accounting Fees,,"$2,534","$5,000","$15,000","$20,000",
,,,,,22,52400,  Professional Fees- Other (includes FG fees),,"$42,702","$91,375","$260,000","$400,000",
,,,,,22,52500,  Temporary Help- Contract Labor,,"$1,100",$0,"$20,000","$25,000",
,,,,,22,52600,  Management Fees,,$0,$0,$0,$0,
,,,,,22,52800,  Investment Management Fees,,$0,$0,$0,$0,
,,,,,,,Subtotal Line 22,,"$46,336","$96,375","$295,000","$445,000",
,,,,,23,52300,  Legal Fees,,$0,"$3,000","$2,500","$10,000",
,,,,,23,52700,  Lobbying Fees,,$0,$0,$0,$0,
,,,,,,53000,Office Expenses,,,,,,
,,,,,23,53100,  Supplies,,$80,$280,"$1,000","$5,000",
,,,,,23,53200,  Telephone & Telecommunications,,$0,$0,$0,$0,
,,,,,23,53300,  Postage & Shipping,,$0,$30,$50,$50,
,,,,,23,53400,  Printing & Copying,,$0,$50,$100,$150,
,,,,,23,53500,"  Books, Subscriptions, References",,$0,$0,$0,$0,
,,,,,23,53600,  In-house Publications,,$0,$0,$0,"$10,000",
,,,,,23,53700,  Equipment Rental & Maintenance,,$0,$0,$0,$0,
,,,,,23,53800,"  Licenses, Fees & Dues (includes IRS & State fees)",,$0,$725,$300,$350,
,,,,,23,53900,  Bank Service Charges,,$0,$0,$0,$0,
,,,,,,55000,Travel  Expenses,,,,,,
,,,,,23,55100,"  Transportation, Mileage",,$875,"$1,000","$9,000","$11,000",
,,,,,23,55200,  Lodging,,$400,$500,"$7,000","$8,000",
,,,,,23,55300,"  Meals,  Per diem",,$0,$0,"$5,600","$6,000",
,,,,,23,55400,  Company Vehicles Expenses,,$0,$0,$0,$0,
,,,,,,56000,"Conferences, Conventions & Meetings",,,,,,
,,,,,23,56100,  Venue Rental & Related Expenses ,,$0,$0,"$6,500","$6,500",
,,,,,23,56200,  Speaker Honorariums,,$0,$0,"$4,000","$5,000",
,,,,,23,56300,  Meeting Materials,,$0,$0,"$2,000","$2,000",
,,,,,,57000,Other Expenses,,,,,,
,,,,,23,57100,  Interest- General,,$0,$0,$0,$0,
,,,,,23,57200,  Insurance (non-employee or property related),,$0,$0,"$1,000","$10,000",
,,,,,23,57300,  Dues to Affiliates ,,$0,$0,$0,$0,
,,,,,23,57400,  Staff Development & Continuing Education,,$0,$0,$0,$0,
,,,,,23,57500,  Advertising & Promotion,,$100,$530,"$6,000","$10,000",
,,,,,23,57600,  Information Technology and Website ,,"$2,303","$2,670","$5,000","$7,500",
,,,,,,57700,"  Depreciation, Depletion & Amortization",,,,,,
,,,,,23,51500,  Payroll Taxes,,$0,"$2,250","$32,257","$79,350",
,,,,,23,57800,  Taxes (other than property & payroll),,$0,$0,$0,$0,
,,,,,23,57900,  Flowers & Gifts/Volunteer Appreciation,,$0,$0,$0,$0,
,,,,,,60000,Program Expenses,,,,,,
,,,,,23,61000,  Program #1 Expense consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,61500,"  Program #1 Expense non-consumable (costs for technical infrastructure to run Sway; includes server costs, AI costs, and performance tracking costs) ",,"$3,462","$33,000","$403,000","$500,000",
,,,,,23,62000,  Program #2 Expense consumable (provide a list),,$0,$0,$0,$0,
,,,,,23,62500,"  Program #2 Expense non-consumable (faculty training workshop costs, including venue, meeting materials, catering)",,$0,$0,"$10,000","$20,000",
